"seq_unique","HH119-SI-PP_Fol-25","HH119-SI-PP_Fol-33","HH119-SI-PP_Fol-28","HH119-SI-PP_Fol-29"
"seq1",1,0,0,0
"seq10",1,0,0,0
"seq11",1,0,0,0
"seq12",2,0,0,0
"seq13",1,0,0,0
"seq14",1,0,0,0
"seq15",4,0,0,0
"seq16",2,0,0,0
"seq17",1,0,0,0
"seq18",1,0,0,0
"seq19",1,0,0,0
"seq2",1,0,0,0
"seq20",1,0,0,0
"seq21",0,1,0,0
"seq22",1,0,0,0
"seq23",1,0,0,0
"seq24",1,0,0,0
"seq25",1,0,0,0
"seq26",1,0,0,0
"seq27",1,0,0,0
"seq28",1,0,0,0
"seq29",1,0,0,0
"seq3",1,0,0,0
"seq30",1,0,0,0
"seq31",0,0,1,0
"seq32",0,0,0,1
"seq33",1,0,0,0
"seq34",2,0,0,0
"seq35",1,0,0,0
"seq4",1,0,0,0
"seq5",1,0,0,0
"seq6",5,0,0,0
"seq7",1,0,0,0
"seq8",1,0,0,0
"seq9",1,0,0,0
