seq_unique,seq_name,L1_annotation,c_call_grouped,sample_clean_fol,L1_annotation_int,c_call_grouped_int,sample_clean_fol_int
seq1,sequence_1,Memory_Bcells,IGHA1,HH117-SI-MILF-nonINF,2,1,1
seq10,sequence_10,GC_B_cells,IGHA1,HH117-SI-PP-nonINF_Fol-2,1,1,5
seq11,sequence_11,GC_B_cells,IGHA1,HH117-SI-PP-nonINF_Fol-2,1,1,5
seq12,sequence_12,GC_B_cells,IGHA1,HH117-SI-PP-nonINF_Fol-2,1,1,5
seq13,sequence_13,GC_B_cells,IGHA2,HH117-SI-PP-nonINF_Fol-17,1,2,4
seq14,sequence_15,GC_B_cells,IGHA1,HH117-SI-PP-nonINF_Fol-2,1,1,5
seq15,sequence_16,GC_B_cells,IGHA1,HH117-SI-PP-nonINF_Fol-2,1,1,5
seq16,sequence_17,GC_B_cells,IGHA1,HH117-SI-PP-nonINF_Fol-2,1,1,5
seq2,sequence_2,Memory_Bcells,IGHA1,HH117-SI-MILF-nonINF,2,1,1
seq3,sequence_3,GC_B_cells,IGHA1,HH117-SI-PP-nonINF_Fol-2,1,1,5
seq4,sequence_4,GC_B_cells,IGHA1,HH117-SI-PP-nonINF_Fol-2,1,1,5
seq5,sequence_5,GC_B_cells,IGHA1,HH117-SI-PP-nonINF_Fol-2,1,1,5
seq6,sequence_6,GC_B_cells,IGHA2,HH117-SI-PP-nonINF_Fol-2,1,2,5
seq7,sequence_7,GC_B_cells,IGHA1,HH117-SI-PP-nonINF_Fol-2,1,1,5
seq8,sequence_8:sequence_14,GC_B_cells,IGHA1,HH117-SI-PP-nonINF_Fol-14:HH117-SI-PP-nonINF_Fol-2,1,1,2
seq9,sequence_9,GC_B_cells,IGHA1,HH117-SI-PP-nonINF_Fol-15,1,1,3
