seq_unique,seq_name,L1_annotation,c_call_grouped,sample_clean_fol,L1_annotation_int,c_call_grouped_int,sample_clean_fol_int
seq1,sequence_1:sequence_4:sequence_20:sequence_21:sequence_22,Memory_B_cells:PCs,IGHA1,HH119-CO-SMILF:HH119-COLP:HH119-SILP,2,1,2
seq10,sequence_14,Memory_B_cells,IGHA1,HH119-SI-PP_Fol-28,1,1,9
seq11,sequence_17,Memory_B_cells,IGHA1,HH119-SI-PP_Fol-26,1,1,8
seq12,sequence_18,PCs,IGHA1,HH119-SILP,3,1,3
seq2,sequence_2:sequence_3,Memory_B_cells,IGHA1,HH119-CO-SMILF,1,1,1
seq3,sequence_5,Memory_B_cells,NA,HH119-SI-MILF,1,2,4
seq4,sequence_6:sequence_13,Memory_B_cells,NA:IGHA1,HH119-SI-MILF:HH119-SI-PP_Fol-30,1,3,6
seq5,sequence_7:sequence_15:sequence_16,Memory_B_cells,IGHA1,HH119-SI-MILF:HH119-SI-PP_Fol-27:HH119-SI-PP_Fol-12,1,1,5
seq6,sequence_8,Memory_B_cells,IGHA1,HH119-SI-MILF,1,1,4
seq7,sequence_9,Memory_B_cells,IGHA1,HH119-SI-MILF,1,1,4
seq8,sequence_10:sequence_12,Memory_B_cells,IGHA1,HH119-SI-PP_Fol-11,1,1,7
seq9,sequence_11:sequence_19,Memory_B_cells:PCs,IGHA1,HH119-SI-PP_Fol-8:HH119-SILP,2,1,10
