seq_unique,seq_name,L1_annotation,c_call_grouped,sample_clean_fol,L1_annotation_int,c_call_grouped_int,sample_clean_fol_int
seq1,sequence_1,Memory_Bcells,IGHG2,HH119-CO-SMILF,2,4,1
seq10,sequence_11,Memory_Bcells,IGHG2,HH119-SI-MILF,2,4,3
seq11,sequence_12,Memory_Bcells,IGHG1,HH119-SI-MILF,2,3,3
seq12,sequence_13,Memory_Bcells,IGHG2,HH119-SI-MILF,2,4,3
seq13,sequence_14:sequence_45:sequence_62,Memory_Bcells:PCs,IGHG2:IGHA1:IGHA2,HH119-SI-MILF:HH119-SILP,3,5,4
seq14,sequence_17:sequence_59,Memory_Bcells:PCs,IGHG2,HH119-SI-MILF:HH119-SILP,3,4,4
seq15,sequence_18,Memory_Bcells,IGHG2,HH119-SI-MILF,2,4,3
seq16,sequence_19,Memory_Bcells,IGHG2,HH119-SI-MILF,2,4,3
seq17,sequence_20,GC_B_cells,IGHG2,HH119-SI-PP_Fol-15,1,4,8
seq18,sequence_22,Memory_Bcells,IGHG2,HH119-SI-PP_Fol-4,2,4,19
seq19,sequence_23,Memory_Bcells,IGHA2,HH119-SI-PP_Fol-2,2,2,9
seq2,sequence_2,Memory_Bcells,IGHG2,HH119-CO-SMILF,2,4,1
seq20,sequence_24,Memory_Bcells,IGHG2,HH119-SI-PP_Fol-11,2,4,7
seq21,sequence_25,Memory_Bcells,IGHG2,HH119-SI-PP_Fol-20,2,4,10
seq22,sequence_26,Memory_Bcells,IGHG2,HH119-SI-PP_Fol-23,2,4,11
seq23,sequence_27:sequence_29,Memory_Bcells,IGHG2,HH119-SI-PP_Fol-23:HH119-SI-PP_Fol-25,2,4,13
seq24,sequence_28:sequence_55,Memory_Bcells:PCs,IGHG2,HH119-SI-PP_Fol-25:HH119-SILP,3,4,14
seq25,sequence_30,GC_B_cells,IGHG2,HH119-SI-PP_Fol-6,1,4,20
seq26,sequence_31:sequence_32:sequence_36:sequence_37:sequence_40:sequence_42:sequence_44,PCs:GC_B_cells,IGHG2,HH119-SI-PP_Fol-26:HH119-SI-PP_Fol-31,5,4,16
seq27,sequence_33,Memory_Bcells,IGHG2,HH119-SI-PP_Fol-27,2,4,17
seq28,sequence_34,GC_B_cells,IGHG2,HH119-SI-PP_Fol-26,1,4,15
seq29,sequence_35,Memory_Bcells,IGHG2,HH119-SI-PP_Fol-27,2,4,17
seq3,sequence_3,Memory_Bcells,IGHG2,HH119-SI-MILF,2,4,3
seq30,sequence_38:sequence_48,PCs,IGHG2:NA,HH119-SI-PP_Fol-23:HH119-SILP,4,6,12
seq31,sequence_39,GC_B_cells,IGHG2,HH119-SI-PP_Fol-26,1,4,15
seq32,sequence_41,Memory_Bcells,IGHG2,HH119-SI-PP_Fol-34,2,4,18
seq33,sequence_46,PCs,IGHG2,HH119-SILP,4,4,2
seq34,sequence_47,PCs,IGHG2,HH119-SILP,4,4,2
seq35,sequence_50,PCs,IGHG2,HH119-SILP,4,4,2
seq36,sequence_51,PCs,IGHG2,HH119-SILP,4,4,2
seq37,sequence_52:sequence_56,PCs,IGHG2,HH119-SILP,4,4,2
seq38,sequence_58,PCs,IGHG2,HH119-SILP,4,4,2
seq39,sequence_60,PCs,IGHG2,HH119-SILP,4,4,2
seq4,sequence_4,PCs,IGHG2,HH119-SI-MILF,4,4,3
seq40,sequence_61,PCs,IGHA1,HH119-SILP,4,1,2
seq5,sequence_5,Memory_Bcells,IGHG2,HH119-SI-MILF,2,4,3
seq6,sequence_6:sequence_9,Memory_Bcells,IGHG2,HH119-SI-MILF,2,4,3
seq7,sequence_7:sequence_16:sequence_21:sequence_49:sequence_53:sequence_54:sequence_57,Memory_Bcells:PCs,IGHG2,HH119-SI-MILF:HH119-SI-PP_Fol-11:HH119-SILP,3,4,5
seq8,sequence_8:sequence_43,Memory_Bcells,IGHG2,HH119-SI-MILF:HH119-SI-PP_Fol-33,2,4,6
seq9,sequence_10:sequence_15,Memory_Bcells,IGHG2,HH119-SI-MILF,2,4,3
