"seq_unique","IGHA1","NA","IGHM/D","IGHA2"
"seq1",1,0,0,0
"seq10",1,0,0,0
"seq11",0,1,0,0
"seq12",0,1,0,0
"seq13",0,0,1,0
"seq14",5,3,0,0
"seq15",1,1,0,0
"seq16",1,0,0,0
"seq17",0,1,0,0
"seq18",1,0,0,0
"seq19",2,0,0,0
"seq2",0,1,0,0
"seq20",0,1,0,0
"seq21",1,0,0,0
"seq22",1,0,0,0
"seq23",1,3,0,0
"seq24",0,1,0,0
"seq25",1,0,0,0
"seq26",1,0,0,0
"seq27",1,0,0,0
"seq28",1,0,0,0
"seq29",1,0,0,0
"seq3",1,0,0,0
"seq30",0,1,0,0
"seq31",0,0,0,1
"seq32",1,0,0,0
"seq33",1,0,0,0
"seq34",0,1,0,0
"seq4",1,0,0,0
"seq5",0,1,0,0
"seq6",1,0,0,0
"seq7",3,0,0,0
"seq8",1,0,0,0
"seq9",1,0,0,0
